validAlertedResponses,age,gender,avg_happy,avg_energised,avg_focused,avg_stressed,avg_productive1h,avg_AC_10i,avg_AC_2i,avg_AC_5i,avg_BP_11i,avg_BP_13i,avg_BP_1i,avg_BP_9i,avg_EC_2i,avg_EC_5i,avg_GS_11i,avg_KP_10i,avg_SR_7m,avg_SU_3i,avg_SU_6i,avg_TL_10i,avg_TL_14i,avg_TL_6i,avg_TS_14i,avg_TS_1i,avg_AC_9m,avg_BP_4m,avg_EC_9m,avg_GS_12m,avg_GS_4m,avg_GS_7m,avg_KP_13m,avg_KP_3m,avg_KP_6m,avg_SR_12m,avg_SR_13m,avg_SR_14m,avg_SR_8m,avg_SU_12m,avg_SU_14m,avg_SU_16m,avg_TL_13m,avg_TL_16m,avg_TS_13m,avg_TS_16m,avg_TS_4m,avg_TS_8m,avg_AC_12t,avg_AC_4t,avg_AC_7t,avg_BP_5t,avg_GS_15t,avg_GS_5t,avg_GS_9m,avg_KP_4t,avg_KP_7t,avg_SU_15t,avg_TL_17t,avg_TL_1t,avg_TS_9t,avg_BA_1,avg_BA_2,avg_BA_3,avg_BA_4,avg_BA_5,avg_CE_1,avg_CE_2,avg_CE_3,avg_EE_1,avg_EE_2,avg_EE_3,avg_EE_4,avg_EE_5,avg_EE_6,avg_EE_7,avg_EE_8,avg_RC_1,avg_RC_2,avg_RC_3,avg_SA_1,avg_SA_2,avg_SA_3,avg_SA_4,avg_SA_5,avg_SA_6,avg_SA_7
64,45-54,male,0.453062501,0.48696875,0.588578125,0.555592592,0.615677418,0.8125,0.666666667,0.75,0.75,0.5,0.5,,0.875,0.375,0.75,0.916666667,0.75,0.75,0.666666667,0.75,0.833333333,0.75,0.5,0.75,0.75,0.583333333,0.75,0.6875,0.75,0.625,0.833333333,0.75,0.5,0.875,0.75,0.75,0.875,0.833333333,0.75,0.75,0.75,0.583333333,0.6875,0.833333333,0.75,0.666666667,0.75,0.75,0.5,0.5,0.666666667,0.416666667,0.75,0.75,,0.375,0.5625,,0.75,0.5,0.5,0.5,,0.8125,0.5,0.5,0.5,0.25,0.833333333,0.75,0.3,0.75,,0.625,0.6,0.9375,1,,0.583333333,0.416666667,0.666666667,0.25,0.833333333,0.5,0.75
59,35-44,female,0.635610169,0.533881356,0.629915255,0.118124999,0.637673913,0.666666667,0.625,0.625,0.583333333,,0.75,0.5,0.75,0.625,,0.583333333,0.75,0.75,0.5,0.75,0.666666667,0.75,,0.875,0.666666667,0.666666667,0.666666667,0.625,,0.666666667,0.625,0.625,0.666666667,0.75,0.833333333,0.75,0.75,0.6875,0.625,0.5,0.5,0.75,0.75,0.666666667,0.75,0.75,0.666666667,,0.625,0.833333333,,0.625,0.666666667,0.5,0.75,0.666666667,0.75,0.75,0.625,0.375,0.625,0.75,0.625,0.75,0.666666667,0.75,0.75,0.5,0.5625,0.5,0.5,0.5,0.75,0.25,0.75,0.75,0.875,0.75,0.5,0.666666667,0.666666667,0.625,0.5,0.5,0.75
45,45-54,female,0.6778,0.681400001,0.659177779,0.454545455,0.782000001,0.875,1,0.75,1,0.75,,1,1,0.75,0.875,0.75,0.625,0.5,,0.75,,,1,0.875,0.25,0.25,,0.25,,,,,0.25,,1,0.125,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,0.5,0.625,0.75,0.625,,,0.75,0.75,0.5,0.75,0.5,,0.625,0.375,0.625,0.25,,0.75,0.5,0.625,0.5,0.5,0.5,0.75,0.75,0.75,1,0.75,0.5,1,0.5,,,0.75,0.5,0.75,0.5,1
3,35-44,female,0.777666668,0.555666665,0.722000003,,0.75,,1,,,,0.75,,,1,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.75,,,0.75,,,,,,,0.25,,,0.75,,,,,,0.75,,,,,0.75,0.75,,,,,
14,16-24,male,0.559642856,0.523857142,0.797571429,0.595142858,0.714357142,1,1,1,,,1,1,,1,,1,,0.75,,1,0.5,1,1,1,,1,,1,1,1,,1,1,,,,1,1,,1,,,,1,,1,,1,1,,1,1,0.75,,1,,,1,,,,,1,1,,,,,,,1,,0.5,,0.5,,1,,0.75,0.75,,,1,,0.5
68,16-24,female,0.750073528,0.551455883,0.546558824,0.24568421,0.525333332,0.75,0.5,0.25,0.375,0.75,1,1,1,0.916666667,0.416666667,0.75,0.5,0.75,0.875,0.75,1,1,0.375,0.416666667,0.916666667,0.916666667,1,0.75,0.5,0.5,0.75,1,1,0.916666667,0.916666667,1,0.25,0.25,0.416666667,0.75,1,0.5,1,0.5,1,0.625,1,0.583333333,1,0.875,0.375,0.75,0.875,1,0.916666667,1,0.75,1,0.75,0.125,0.375,0.916666667,0.916666667,1,1,0.833333333,0.75,0.416666667,0.625,0.5,0.5,0.333333333,0.75,0.25,0.75,0.916666667,0.916666667,0.916666667,0.75,1,0.916666667,1,0.666666667,0.916666667,1
34,25-34,female,0.593352938,0.52952941,0.588441174,0.0833,0.583499998,0.5,,0.5,,,0.875,,0.5,,,,,0.75,,0.75,0.25,0.75,,,,,,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.25,,0.625,0.5,0.625,0.5,,,0.75,,0.5,0.75,,,0.625,,0.75,,,,0.75,,,,0.25,,,0.75,0.75,,0.5,0.5,,,0.25,0.75,0.5,0.5,0.5,,,,1,,0.5,,0.5,,1,,0.5
24,45-54,male,0.722208334,0.625,0.694416667,0.388999999,0.802909092,0.75,0.75,0.75,,0.75,0.75,1,0.75,,0.75,0.25,0.75,,0.75,0.75,0.75,,,,,0.75,0.75,0.75,0.25,,0.75,,0.75,,1,0.75,0.75,0.75,,0.75,0.5,0.25,0.75,,,0.75,0.75,0.25,0.75,0.25,0.25,,0.5,0.5,0.25,0.25,0,0.75,,0.25,,0.25,0.75,0.75,0.25,0.75,0.75,,0.25,,0.25,0.25,0.25,0.25,0.75,,0.75,0.75,,0.75,0.75,0.75,0.75,,0.25
30,25-34,female,0.538966666,0.499966667,0.5389,0.2667,0.506958333,,0.75,0.75,0.875,0.5,,1,,,0.875,1,1,1,0.75,0.875,0.625,1,,1,,0.75,,0.75,0.75,0.75,0.75,0.625,0.75,0.875,,0.75,1,1,,0.75,,1,1,,0.875,1,1,,0.75,0.75,,0.75,1,,1,,,0.5,,0.5,1,,,0.875,0.75,0.5,,0.75,0.75,,0.75,,,,0.5,,,,,0.75,,0.625,0.875,0.625,0.625
8,25-34,male,0.520874999,0.458250001,0.479125001,0.333333333,0.638999999,1,0,,,,0.75,,1,,,0.25,,,,1,,,,,,,,,0.25,,,,,0.75,,,,,,,,,0.75,,,,,0.25,,,,,0.25,0.25,,,,,,,0.5,0.25,,,0.5,0.5,0.75,,,,0.5,,0.5,,,,,,,,,,,0.5,0.5
